time,name,position
"2015-03-07","Blank Space",7
"2015-01-03","Blank Space",1
"2015-01-24","Blank Space",2
"2015-01-24","Blank Space",90
"2015-07-11","Blank Space",45
"2015-01-17","Blank Space",2
"2015-02-21","Blank Space",5
"2015-03-28","Blank Space",12
"2015-04-18","Blank Space",17
"2015-07-18","Blank Space",50
"2015-06-13","Blank Space",35
"2015-01-31","Blank Space",3
"2015-05-09","Blank Space",24
"2015-06-20","Blank Space",37
"2015-04-25","Blank Space",19
"2015-01-10","Blank Space",1
"2015-07-04","Blank Space",42
"2015-02-14","Blank Space",4
"2015-03-21","Blank Space",10
"2015-02-07","Blank Space",4
"2015-06-27","Blank Space",42
"2015-04-04","Blank Space",11
"2015-05-02","Blank Space",23
"2015-02-28","Blank Space",7
"2015-05-30","Blank Space",29
"2015-05-16","Blank Space",25
"2015-05-23","Blank Space",26
"2015-04-11","Blank Space",13
"2015-03-14","Blank Space",8
"2015-06-06","Blank Space",32
"2014-12-13","Blank Space",1
"2014-12-20","Blank Space",1
"2014-12-27","Blank Space",1
"2014-11-15","Blank Space",18
"2014-11-29","Blank Space",1
"2014-12-06","Blank Space",1
"2014-11-22","Blank Space",13
